mean_inter_arrival_ms,std_inter_arrival_ms,mean_payload_size,std_payload_size,decrypt_failure_rate,duplicate_payload_count,frame_rate_per_second,chat_frame_fraction,file_frame_fraction,control_frame_fraction,label,session_id
94.7810411453247,21.977963918347232,59.8,15.328405005087777,0.0,0.0,13.188291507406163,1.0,0.0,0.0,normal,a823a9617708
94.9702262878418,22.059246947095502,59.8,15.328405005087777,0.0,0.0,13.162019812519143,1.0,0.0,0.0,normal,a823a9617708
115.31080140007867,38.72775509752846,61.3,16.929559947027567,0.0,0.0,9.63579385122852,1.0,0.0,0.0,normal,a823a9617708
115.38275082906087,38.84164644774228,61.3,16.929559947027567,0.0,0.0,9.62978524196583,1.0,0.0,0.0,normal,a823a9617708
130.73408603668213,47.75775652323784,68.0,20.53290042833696,0.0,0.0,8.195479877588648,1.0,0.0,0.0,normal,a823a9617708
130.76005663190568,47.757709463229766,68.0,20.53290042833696,0.0,0.0,8.193852151996857,1.0,0.0,0.0,normal,a823a9617708
129.5100638740941,46.59231012494601,70.65,21.138294633200665,0.0,0.0,8.127797542982497,1.0,0.0,0.0,normal,a823a9617708
129.54204960873253,46.557578283153426,70.65,21.138294633200665,0.0,0.0,8.125790676670054,1.0,0.0,0.0,normal,a823a9617708
138.86515717757376,42.17990568639401,71.85,23.95260946118397,0.0,0.0,7.580242591749032,1.0,0.0,0.0,normal,a823a9617708
138.87173251101845,42.16227235758975,71.85,23.95260946118397,0.0,0.0,7.57988368053124,1.0,0.0,0.0,normal,a823a9617708
136.35789720635665,40.09491596090764,74.65,22.517271149053563,0.0,0.0,7.719623142577308,1.0,0.0,0.0,normal,a823a9617708
136.37299286691766,40.06178760446465,74.65,22.517271149053563,0.0,0.0,7.718768627264786,1.0,0.0,0.0,normal,a823a9617708
144.56957578659058,16.16559130269604,62.8,16.387800340497197,0.0,0.0,8.64635586843814,1.0,0.0,0.0,mitm,76a4cd9fd8b3
144.7412371635437,16.265659797336525,62.8,16.387800340497197,0.4,0.0,8.636101393741853,1.0,0.0,0.0,mitm,76a4cd9fd8b3
150.8183479309082,28.0671567975866,58.9,18.408965207202712,0.0,0.0,7.367214442768762,1.0,0.0,0.0,mitm,76a4cd9fd8b3
150.89498625861273,28.0264309244064,58.9,18.408965207202712,0.3,0.0,7.3634726948900955,1.0,0.0,0.0,mitm,76a4cd9fd8b3
133.56271811894007,39.18689378780975,59.53333333333333,19.932775911938496,0.0,0.0,8.021913498903523,1.0,0.0,0.0,mitm,76a4cd9fd8b3
133.60614436013358,39.1503292198034,59.53333333333333,19.932775911938496,0.3333333333333333,0.0,8.019306122183648,1.0,0.0,0.0,mitm,76a4cd9fd8b3
141.0982608795166,33.827965672121834,76.0,26.795522013948524,0.0,0.0,8.859074464903372,1.0,0.0,0.0,normal,6beedcafbd2e
